LOKIASV2_0640_ESMFold_P-loop_NTPase	A0A8S5RVM6_unrelaxed_rank_001_alphafold2_ptm_model_5_seed_000.pdb	A0A8S5RVM6_unrelaxed_rank_001_alphafold2_ptm_model_5_seed_000.pdb	2.790E-07	1.000	184	4	300	308	187	447	456	325	0.964	0.572
LOKIASV2_0640_ESMFold_P-loop_NTPase	S5VYF1_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000.pdb	S5VYF1_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000.pdb	1.483E-04	1.000	125	138	304	308	43	208	209	181	0.542	0.794
LOKIASV2_0640_ESMFold_P-loop_NTPase	A0A6J5N9X5_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb	A0A6J5N9X5_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb	2.129E-03	1.000	110	5	308	308	1	199	199	309	0.987	1.000
LOKIASV2_0640_ESMFold_P-loop_NTPase	Q94M11_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb	Q94M11_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb	3.849E-03	1.000	109	5	236	308	1	138	140	233	0.753	0.986
LOKIASV2_0640_ESMFold_P-loop_NTPase	A0A481YSP3_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000.pdb	A0A481YSP3_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000.pdb	1.250E-03	0.991	84	1	306	308	1	162	196	311	0.994	0.827
LOKIASV2_0640_ESMFold_P-loop_NTPase	A0A481YUL3_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb	A0A481YUL3_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb	6.516E-04	0.971	76	3	303	308	4	289	552	362	0.977	0.518
LOKIASV2_0640_ESMFold_P-loop_NTPase	A0A3G5A566_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000.pdb	A0A3G5A566_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000.pdb	1.691E-02	0.933	70	2	307	308	20	185	193	315	0.994	0.860
LOKIASV2_0640_ESMFold_P-loop_NTPase	A0A4P6VLV6_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000.pdb	A0A4P6VLV6_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000.pdb	6.558E-03	0.887	66	6	285	308	14	180	214	288	0.909	0.780
LOKIASV2_0640_ESMFold_P-loop_NTPase	A0A3G5AHU3_unrelaxed_rank_001_alphafold2_ptm_model_5_seed_000.pdb	A0A3G5AHU3_unrelaxed_rank_001_alphafold2_ptm_model_5_seed_000.pdb	1.783E-03	0.817	62	5	304	308	10	228	229	333	0.974	0.956
LOKIASV2_0640_ESMFold_P-loop_NTPase	W5SAJ0_unrelaxed_rank_001_alphafold2_ptm_model_4_seed_000.pdb	W5SAJ0_unrelaxed_rank_001_alphafold2_ptm_model_4_seed_000.pdb	2.412E-02	0.795	61	5	287	308	23	185	185	293	0.919	0.881
LOKIASV2_0640_ESMFold_P-loop_NTPase	A0A6J5M135_unrelaxed_rank_001_alphafold2_ptm_model_5_seed_000.pdb	A0A6J5M135_unrelaxed_rank_001_alphafold2_ptm_model_5_seed_000.pdb	2.428E-01	0.747	59	157	267	308	95	208	381	119	0.360	0.299
LOKIASV2_0640_ESMFold_P-loop_NTPase	A0A6M3BDV3_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000.pdb	A0A6M3BDV3_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000.pdb	5.863E-02	0.692	57	144	307	308	34	228	237	202	0.532	0.823
