query	target	qheader	theader	fident	alnlen	mismatch	qstart	qend	tstart	tend	evalue	bits
DESULFOASV1_2081_hypothetical_protein	2owy-assembly1.cif.gz_B	DESULFOASV1_2081_hypothetical_protein	2owy-assembly1.cif.gz_B The recombination-associated protein RdgC adopts a novel toroidal architecture for DNA binding	0.157	138	105	14	151	171	295	8.280E-03	97
DESULFOASV1_2081_hypothetical_protein	2owl-assembly1.cif.gz_B	DESULFOASV1_2081_hypothetical_protein	2owl-assembly1.cif.gz_B Crystal structure of E. coli RdgC	0.198	131	101	14	144	170	296	1.772E-02	77
DESULFOASV1_2081_hypothetical_protein	8di0-assembly3.cif.gz_C	DESULFOASV1_2081_hypothetical_protein	8di0-assembly3.cif.gz_C Bfo2290: Tannerella forsythia chondroitin sulfate A sulfatase	0.109	108	77	41	148	364	450	9.481E-01	39
DESULFOASV1_2081_hypothetical_protein	6y0c-assembly1.cif.gz_C	DESULFOASV1_2081_hypothetical_protein	6y0c-assembly1.cif.gz_C Influenza C virus polymerase in complex with human ANP32A - Subclass 2	0.069	94	71	30	123	321	397	4.430E-01	39
DESULFOASV1_2081_hypothetical_protein	7ui9-assembly1.cif.gz_a	DESULFOASV1_2081_hypothetical_protein	7ui9-assembly1.cif.gz_a Core Mediator-PICearly (Copy A)	0.125	48	35	85	125	45	92	1.198E+00	37
DESULFOASV1_2081_hypothetical_protein	8di0-assembly1.cif.gz_A	DESULFOASV1_2081_hypothetical_protein	8di0-assembly1.cif.gz_A Bfo2290: Tannerella forsythia chondroitin sulfate A sulfatase	0.109	108	73	41	148	348	430	1.270E+00	36
DESULFOASV1_2081_hypothetical_protein	6xzr-assembly1.cif.gz_CP1	DESULFOASV1_2081_hypothetical_protein	6xzr-assembly1.cif.gz_CP1 Influenza C virus polymerase in complex with chicken ANP32A - Subclass 1	0.069	94	71	30	123	332	408	7.502E-01	36
DESULFOASV1_2081_hypothetical_protein	6xzr-assembly1.cif.gz_FP1	DESULFOASV1_2081_hypothetical_protein	6xzr-assembly1.cif.gz_FP1 Influenza C virus polymerase in complex with chicken ANP32A - Subclass 1	0.053	88	66	31	118	179	249	5.936E-01	35
DESULFOASV1_2081_hypothetical_protein	6b46-assembly1.cif.gz_I	DESULFOASV1_2081_hypothetical_protein	6b46-assembly1.cif.gz_I Cryo-EM structure of Type I-F CRISPR crRNA-guided Csy surveillance complex with bound anti-CRISPR protein AcrF1	0.052	57	48	85	136	15	71	1.914E+00	34
DESULFOASV1_2081_hypothetical_protein	7anb-assembly2.cif.gz_BBB	DESULFOASV1_2081_hypothetical_protein	7anb-assembly2.cif.gz_BBB A single sulfatase is required for metabolism of colonic mucin O-glycans and intestinal colonization by a symbiotic human gut bacterium (BT1622-S1_20)	0.147	59	47	85	140	411	469	1.066E+00	33
DESULFOASV1_2081_hypothetical_protein	1qys-assembly1.cif.gz_A	DESULFOASV1_2081_hypothetical_protein	1qys-assembly1.cif.gz_A Crystal structure of Top7: A computationally designed protein with a novel fold	0.120	52	45	42	93	1	52	1.347E+00	32
DESULFOASV1_2081_hypothetical_protein	8g30-assembly1.cif.gz_M	DESULFOASV1_2081_hypothetical_protein	8g30-assembly1.cif.gz_M N2 neuraminidase of A/Tanzania/205/2010 H3N2 in complex with 4 FNI19 Fab molecules	0.083	36	30	85	120	154	187	3.240E+00	32
DESULFOASV1_2081_hypothetical_protein	8di0-assembly2.cif.gz_B	DESULFOASV1_2081_hypothetical_protein	8di0-assembly2.cif.gz_B Bfo2290: Tannerella forsythia chondroitin sulfate A sulfatase	0.118	108	71	41	148	340	421	2.151E+00	32
DESULFOASV1_2081_hypothetical_protein	2zuy-assembly1.cif.gz_A	DESULFOASV1_2081_hypothetical_protein	2zuy-assembly1.cif.gz_A Crystal structure of exotype rhamnogalacturonan lyase YesX	0.130	83	57	32	114	103	169	3.717E-01	32
DESULFOASV1_2081_hypothetical_protein	4fr9-assembly1.cif.gz_A	DESULFOASV1_2081_hypothetical_protein	4fr9-assembly1.cif.gz_A Crystal structure of a BLIP-like protein (BF1215) from Bacteroides fragilis NCTC 9343 at 1.20 A resolution	0.162	36	28	86	121	103	137	4.881E+00	31
DESULFOASV1_2081_hypothetical_protein	5boi-assembly1.cif.gz_A	DESULFOASV1_2081_hypothetical_protein	5boi-assembly1.cif.gz_A Bacillus megaterium YpeB C-terminal domain	0.077	76	48	42	117	174	226	1.805E+00	31
DESULFOASV1_2081_hypothetical_protein	3mbr-assembly1.cif.gz_X	DESULFOASV1_2081_hypothetical_protein	3mbr-assembly1.cif.gz_X Crystal Structure of the Glutaminyl Cyclase from Xanthomonas campestris	0.057	35	30	85	119	29	61	5.818E+00	31
DESULFOASV1_2081_hypothetical_protein	7ktp-assembly1.cif.gz_C	DESULFOASV1_2081_hypothetical_protein	7ktp-assembly1.cif.gz_C PRC2:EZH1_B from a dimeric PRC2 bound to a nucleosome	0.127	99	75	25	111	63	161	2.774E-01	31
DESULFOASV1_2081_hypothetical_protein	6anv-assembly2.cif.gz_B	DESULFOASV1_2081_hypothetical_protein	6anv-assembly2.cif.gz_B Crystal structure of anti-CRISPR protein AcrF1	0.052	57	48	85	136	15	71	3.240E+00	31
DESULFOASV1_2081_hypothetical_protein	6hhm-assembly1.cif.gz_A	DESULFOASV1_2081_hypothetical_protein	6hhm-assembly1.cif.gz_A Crystal structure of the family S1_7 ulvan-specific sulfatase FA22070 from Formosa agariphila	0.078	64	47	85	136	383	446	4.095E+00	31
DESULFOASV1_2081_hypothetical_protein	6d7k-assembly1.cif.gz_D	DESULFOASV1_2081_hypothetical_protein	6d7k-assembly1.cif.gz_D Complex structure of Methane monooxygenase hydroxylase in complex with inhibitory subunit	0.107	65	47	85	149	10	63	2.719E+00	30
DESULFOASV1_2081_hypothetical_protein	6rm3-assembly1.cif.gz_SF0	DESULFOASV1_2081_hypothetical_protein	6rm3-assembly1.cif.gz_SF0 Evolutionary compaction and adaptation visualized by the structure of the dormant microsporidian ribosome	0.142	42	29	45	79	104	145	1.914E+00	30
DESULFOASV1_2081_hypothetical_protein	3u1w-assembly2.cif.gz_C	DESULFOASV1_2081_hypothetical_protein	3u1w-assembly2.cif.gz_C Crystal structure of a Calcium binding protein (BDI_1975) from Parabacteroides distasonis ATCC 8503 at 2.00 A resolution	0.079	131	99	24	132	13	143	1.737E-01	30
DESULFOASV1_2081_hypothetical_protein	5o3v-assembly1.cif.gz_B	DESULFOASV1_2081_hypothetical_protein	5o3v-assembly1.cif.gz_B Structural characterization of the fast and promiscuous macrocyclase from plant - PCY1-S562A bound to Presegetalin B1	0.121	33	27	85	117	347	378	6.540E+00	30
DESULFOASV1_2081_hypothetical_protein	6qpg-assembly3.cif.gz_I	DESULFOASV1_2081_hypothetical_protein	6qpg-assembly3.cif.gz_I Influenza A virus Polymerase Heterotrimer A/nt/60/1968(H3N2) in complex with Nanobody NB8205	0.037	77	60	41	117	317	379	2.719E+00	30
DESULFOASV1_2081_hypothetical_protein	4chf-assembly2.cif.gz_B	DESULFOASV1_2081_hypothetical_protein	4chf-assembly2.cif.gz_B Crystal structure of the putative cap-binding domain of the PB2 subunit of Thogoto virus polymerase (form 2)	0.125	117	88	40	141	9	125	6.294E-01	29
DESULFOASV1_2081_hypothetical_protein	4q9t-assembly2.cif.gz_B	DESULFOASV1_2081_hypothetical_protein	4q9t-assembly2.cif.gz_B Crystal structure of Vanderwaltozyma polyspora Nup133 Beta-propeller domain	0.050	40	32	85	119	314	353	5.175E+00	29
DESULFOASV1_2081_hypothetical_protein	4o9d-assembly2.cif.gz_A	DESULFOASV1_2081_hypothetical_protein	4o9d-assembly2.cif.gz_A Structure of Dos1 propeller	0.033	30	28	85	114	229	258	9.292E+00	29
DESULFOASV1_2081_hypothetical_protein	3kn4-assembly1.cif.gz_A-2	DESULFOASV1_2081_hypothetical_protein	3kn4-assembly1.cif.gz_A-2 AGAO 6-phenyl-2,3-hexadienylamine complex	0.194	34	27	86	119	49	82	6.935E+00	29
DESULFOASV1_2081_hypothetical_protein	5o3u-assembly1.cif.gz_A	DESULFOASV1_2081_hypothetical_protein	5o3u-assembly1.cif.gz_A Structural characterization of the fast and promiscuous macrocyclase from plant - PCY1-S562A bound to Presegetalin F1	0.069	89	72	41	118	285	373	7.502E-01	29
DESULFOASV1_2081_hypothetical_protein	8bek-assembly1.cif.gz_C	DESULFOASV1_2081_hypothetical_protein	8bek-assembly1.cif.gz_C Early transcription elongation state of influenza A/H7N9 backtracked polymerase with singly incoporated T1106 at the U +1 position	0.084	77	57	41	117	328	390	2.564E+00	29
DESULFOASV1_2081_hypothetical_protein	6d7k-assembly1.cif.gz_H	DESULFOASV1_2081_hypothetical_protein	6d7k-assembly1.cif.gz_H Complex structure of Methane monooxygenase hydroxylase in complex with inhibitory subunit	0.109	64	46	85	148	15	67	3.240E+00	28
DESULFOASV1_2081_hypothetical_protein	1zvf-assembly1.cif.gz_B	DESULFOASV1_2081_hypothetical_protein	1zvf-assembly1.cif.gz_B The crystal structure of 3-hydroxyanthranilate 3,4-dioxygenase from Saccharomyces cerevisiae	0.088	106	92	32	133	49	154	2.195E-01	28
