0001	ORC1-type_DNA_replication_protein.pdb
0002	hypothetical_protein.pdb
0003	hypothetical_protein.pdb
0004	DNA-directed_DNA_polymerase_II_large_subunit.pdb
0005	hypothetical_protein.pdb
0006	glycoside_hydrolase_family_3_N-terminal_domain-containing_protein.pdb
0007	50S_ribosomal_protein_L2.pdb
0008	hypothetical_protein.pdb
0009	methionine_adenosyltransferase.pdb
0010	hypothetical_protein.pdb
0011	archease.pdb
0012	hypothetical_protein.pdb
0013	hypothetical_protein.pdb
0014	hypothetical_protein.pdb
0015	50S_ribosomal_protein_L37ae.pdb
0016	exosome_complex_protein_Rrp42.pdb
0017	hypothetical_protein.pdb
0018	exosome_complex_RNA-binding_protein_Rrp4.pdb
0019	ribosome_assembly_factor_SBDS.pdb
0020	archaeal_proteasome_endopeptidase_complex_subunit_alpha.pdb
0021	hypothetical_protein.pdb
0022	hypothetical_protein.pdb
0023	hypothetical_protein.pdb
0024	DUF211_ESMFold_family_protein.pdb
0025	hypothetical_protein.pdb
0026	hypothetical_protein.pdb
0027	M1_family_metallopeptidase.pdb
0028	hypothetical_protein.pdb
0029	calcium-translocating_P-type_ATPase-_SERCA-type.pdb
0030	hypothetical_protein.pdb
0031	ADP-ribosylglycohydrolase_family_protein.pdb
0032	B12-binding_domain-containing_protein.pdb
0033	D-lysine_5-6-aminomutase_subunit_alpha.pdb
0034	endonuclease_MutS2.pdb
0035	hypothetical_protein.pdb
0036	lysine_2-3-aminomutase.pdb
0037	L-erythro-3-5-diaminohexanoate_dehydrogenase.pdb
0038	butyrate--acetoacetate_CoA-transferase_subunit_B.pdb
0039	CoA_transferase_subunit_A.pdb
0040	Lrp-AsnC_family_transcriptional_regulator.pdb
0041	cytosol_nonspecific_dipeptidase.pdb
0042	3-keto-5-aminohexanoate_cleavage_protein.pdb
0043	glutamate-1-semialdehyde_2-1-aminomutase.pdb
0044	hypothetical_protein.pdb
0045	hypothetical_protein.pdb
0046	multiprotein_bridging_factor_aMBF1.pdb
0047	peptide-methionine_-S--S-oxide_reductase_MsrA.pdb
0048	hypothetical_protein.pdb
0049	tyrosine_decarboxylase_MfnA.pdb
0050	ATP-dependent_helicase.pdb
0051	FGGY-family_carbohydrate_kinase.pdb
0052	hypothetical_protein.pdb
0053	hypothetical_protein.pdb
0054	Lrp-AsnC_ligand_binding_domain-containing_protein.pdb
0055	nucleotide_pyrophosphohydrolase.pdb
0056	hypothetical_protein.pdb
0057	hypothetical_protein.pdb
0058	hypothetical_protein.pdb
0059	hypothetical_protein.pdb
0060	hypothetical_protein.pdb
0061	nascent_polypeptide-associated_complex_protein.pdb
0062	hypothetical_protein.pdb
0063	proteasome-activating_nucleotidase.pdb
0064	hypothetical_protein.pdb
0065	hypothetical_protein.pdb
0066	hypothetical_protein.pdb
0067	hypothetical_protein.pdb
0068	hypothetical_protein.pdb
0069	4-phosphopantoate--beta-alanine_ligase.pdb
0070	peptide_chain_release_factor_aRF-1.pdb
0071	pantoate_kinase.pdb
0072	UMP_kinase.pdb
0073	hypothetical_protein.pdb
0074	hypothetical_protein.pdb
0075	hypothetical_protein.pdb
0076	inosine-xanthosine_triphosphatase.pdb
0077	hypothetical_protein.pdb
0078	phosphoadenosine_phosphosulfate_reductase_family_protein.pdb
0079	HD_domain-containing_protein.pdb
0080	hypothetical_protein.pdb
0081	hypothetical_protein.pdb
0082	transcription_initiation_factor_IIB.pdb
0083	hypothetical_protein.pdb
0084	hypothetical_protein.pdb
0085	hypothetical_protein.pdb
0086	hypothetical_protein.pdb
0087	2-dehydropantoate_2-reductase.pdb
0088	DUF72_domain-containing_protein.pdb
